"","formula","aics","bics","acc"
"433",433,874.517796878747,926.048525883094,0.65125
"904",904,874.646957031091,921.49307430777,0.64
"172",172,874.824458797764,926.355187802112,0.7
"347",347,874.879133271939,921.725250548618,0.66625
"522",522,874.938216068684,926.468945073032,0.65125
"352",352,875.523982016931,922.370099293611,0.735
"914",914,875.679366832638,922.525484109317,0.71375
"973",973,876.033317008563,922.879434285242,0.66625
"480",480,876.161702690833,927.69243169518,0.70375
"99",99,876.409730033906,927.940459038253,0.71375
"94",94,876.442651865639,918.604157414651,0.64
"552",552,876.661803433465,928.192532437812,0.62
"660",660,877.060889073828,928.591618078175,0.67125
"432",432,877.740184626112,929.270913630459,0.6475
"12",12,877.893720048927,929.424449053275,0.61625
"760",760,877.932447582654,924.778564859334,0.66125
"903",903,877.935521570537,920.097027119548,0.6525
"102",102,878.424984315907,925.271101592587,0.63625
"368",368,878.553310935103,930.08403993945,0.6675
"740",740,878.660771272418,925.506888549097,0.6375
"805",805,878.733471099608,930.264200103955,0.635
"798",798,878.948577586753,930.4793065911,0.70125
"965",965,878.9832318726,925.829349149279,0.6375
"96",96,879.3600697117,926.206186988379,0.62875
"631",631,879.423983467177,926.270100743856,0.65625
"462",462,879.45930092246,921.620806471472,0.65
"413",413,879.509801433575,931.040530437923,0.66125
"882",882,879.531492507899,926.377609784578,0.70875
"198",198,879.75678584941,926.602903126089,0.64875
"935",935,879.788091090052,931.318820094399,0.64625
"959",959,879.939339693803,931.47006869815,0.72875
"717",717,880.02802699451,926.874144271189,0.6675
"406",406,880.114809782922,926.960927059602,0.715
"403",403,880.430382304332,922.591887853343,0.7
"440",440,880.499284183781,932.030013188128,0.64875
"852",852,880.578352478986,932.109081483333,0.69125
"7",7,880.683975480909,932.214704485257,0.705
"279",279,880.941466543026,932.472195547374,0.6825
"404",404,880.997066865567,932.527795869914,0.59875
"157",157,881.164565599059,928.010682875738,0.66
"109",109,881.252979420146,928.099096696825,0.66625
"378",378,881.40017467348,928.24629195016,0.655
"908",908,881.533908810944,933.064637815291,0.67125
"97",97,881.56285900751,933.093588011858,0.68875
"990",990,881.926206085516,924.087711634528,0.74125
"182",182,882.256653081684,924.418158630696,0.65875
"264",264,882.730901198868,934.261630203215,0.68375
"350",350,882.841703713618,934.372432717965,0.645
"892",892,883.249590311967,934.780319316314,0.6275
"981",981,883.519941280295,930.366058556974,0.6875
"654",654,883.679101707955,935.209830712302,0.62125
"744",744,884.085794493336,926.247300042347,0.62875
"474",474,884.131995264529,935.662724268877,0.65125
"873",873,884.202319377443,931.048436654122,0.5825
"166",166,884.254526774966,935.785255779314,0.69625
