"","formulas_with","formulas_without","pvals"
"3251","response~(install_rate+male_div+prop_unkn_none)^3","response~install_rate+male_div+prop_unkn_none",0.297326056515217
"3292","response~(install_rate+co.applicant+real_estate)^3","response~install_rate+co.applicant+real_estate",0.297310868509503
"1328","response~(new_car+male_div+guarantor)^3","response~new_car+male_div+guarantor",0.297018613556978
"1928","response~(furniture+male_single+job)^3","response~furniture+male_single+job",0.296819541442623
"2219","response~(radio.tv+guarantor+num_credits)^3","response~radio.tv+guarantor+num_credits",0.296541212047057
"2278","response~(radio.tv+own_res+telephone)^3","response~radio.tv+own_res+telephone",0.296534144753133
"3311","response~(install_rate+guarantor+job)^3","response~install_rate+guarantor+job",0.296373363942918
"2243","response~(radio.tv+real_estate+telephone)^3","response~radio.tv+real_estate+telephone",0.295830600175557
"2013","response~(furniture+other_install+num_dependents)^3","response~furniture+other_install+num_dependents",0.295809103981525
"604","response~(duration+sav_acct+prop_unkn_none)^3","response~duration+sav_acct+prop_unkn_none",0.295741715320277
"638","response~(duration+install_rate+real_estate)^3","response~duration+install_rate+real_estate",0.295478765998872
"2005","response~(furniture+age+job)^3","response~furniture+age+job",0.295240092627945
"3331","response~(install_rate+real_estate+num_credits)^3","response~install_rate+real_estate+num_credits",0.295169335830413
"2398","response~(education+male_div+num_dependents)^3","response~education+male_div+num_dependents",0.295141418963211
"1797","response~(furniture+education+age)^3","response~furniture+education+age",0.295126028745097
"3550","response~(male_single+present_resident+foreign)^3","response~male_single+present_resident+foreign",0.29512386093883
"3216","response~(employment+age+foreign)^3","response~employment+age+foreign",0.294086333453059
"2212","response~(radio.tv+guarantor+present_resident)^3","response~radio.tv+guarantor+present_resident",0.293237242077684
"702","response~(duration+co.applicant+num_credits)^3","response~duration+co.applicant+num_credits",0.292789156376205
"562","response~(duration+retraining+guarantor)^3","response~duration+retraining+guarantor",0.292409777745015
"2827","response~(amount+male_mar_or_wid+num_dependents)^3","response~amount+male_mar_or_wid+num_dependents",0.292393266234837
"2675","response~(retraining+present_resident+foreign)^3","response~retraining+present_resident+foreign",0.292215736397442
"1385","response~(new_car+guarantor+prop_unkn_none)^3","response~new_car+guarantor+prop_unkn_none",0.292188445297161
"1011","response~(history+male_div+num_credits)^3","response~history+male_div+num_credits",0.291839051177921
"3151","response~(employment+male_mar_or_wid+num_dependents)^3","response~employment+male_mar_or_wid+num_dependents",0.291707382670248
"1803","response~(furniture+education+num_dependents)^3","response~furniture+education+num_dependents",0.291646924460507
"2255","response~(radio.tv+age+rent)^3","response~radio.tv+age+rent",0.290675559622863
"3663","response~(male_mar_or_wid+age+own_res)^3","response~male_mar_or_wid+age+own_res",0.29038818794295
"1143","response~(new_car+used_car+install_rate)^3","response~new_car+used_car+install_rate",0.290198947287405
"438","response~(duration+new_car+retraining)^3","response~duration+new_car+retraining",0.290108671005841
"46","response~(chk_acct+history+prop_unkn_none)^3","response~chk_acct+history+prop_unkn_none",0.290049752615604
"3158","response~(employment+co.applicant+age)^3","response~employment+co.applicant+age",0.289942379093027
"96","response~(chk_acct+used_car+real_estate)^3","response~chk_acct+used_car+real_estate",0.289909545801142
"1871","response~(furniture+employment+guarantor)^3","response~furniture+employment+guarantor",0.289815274445249
"2297","response~(education+retraining+co.applicant)^3","response~education+retraining+co.applicant",0.289802134096772
"3126","response~(employment+male_single+co.applicant)^3","response~employment+male_single+co.applicant",0.289702862315909
"3906","response~(real_estate+age+rent)^3","response~real_estate+age+rent",0.289575321380184
"2971","response~(sav_acct+male_div+foreign)^3","response~sav_acct+male_div+foreign",0.289504446411796
"3174","response~(employment+guarantor+num_credits)^3","response~employment+guarantor+num_credits",0.289407168282725
"2380","response~(education+install_rate+num_credits)^3","response~education+install_rate+num_credits",0.28929803317523
"3064","response~(sav_acct+other_install+rent)^3","response~sav_acct+other_install+rent",0.289269305564609
"3905","response~(real_estate+age+other_install)^3","response~real_estate+age+other_install",0.28917952801939
"1059","response~(history+guarantor+real_estate)^3","response~history+guarantor+real_estate",0.288272820388977
"3546","response~(male_single+present_resident+num_credits)^3","response~male_single+present_resident+num_credits",0.288222471290898
"4005","response~(other_install+rent+own_res)^3","response~other_install+rent+own_res",0.287748126132065
"179","response~(chk_acct+retraining+install_rate)^3","response~chk_acct+retraining+install_rate",0.287741440845982
"1477","response~(used_car+furniture+other_install)^3","response~used_car+furniture+other_install",0.287466497414868
"1676","response~(used_car+co.applicant+rent)^3","response~used_car+co.applicant+rent",0.287108607338343
"945","response~(history+amount+foreign)^3","response~history+amount+foreign",0.286706553158561
"11","response~(chk_acct+duration+install_rate)^3","response~chk_acct+duration+install_rate",0.286052196715182
"3478","response~(male_div+other_install+telephone)^3","response~male_div+other_install+telephone",0.285494770446407
"1694","response~(used_car+guarantor+foreign)^3","response~used_car+guarantor+foreign",0.284918117224865
"1398","response~(new_car+present_resident+other_install)^3","response~new_car+present_resident+other_install",0.284373358538727
"70","response~(chk_acct+new_car+present_resident)^3","response~chk_acct+new_car+present_resident",0.28436461678942
"2032","response~(furniture+job+telephone)^3","response~furniture+job+telephone",0.283816149996679
"1081","response~(history+real_estate+prop_unkn_none)^3","response~history+real_estate+prop_unkn_none",0.283713717238686
"972","response~(history+employment+real_estate)^3","response~history+employment+real_estate",0.283489522594989
"3676","response~(male_mar_or_wid+rent+own_res)^3","response~male_mar_or_wid+rent+own_res",0.283324239734382
"3141","response~(employment+male_mar_or_wid+guarantor)^3","response~employment+male_mar_or_wid+guarantor",0.283101920873236
"2246","response~(radio.tv+prop_unkn_none+other_install)^3","response~radio.tv+prop_unkn_none+other_install",0.282444279726212
"3310","response~(install_rate+guarantor+num_credits)^3","response~install_rate+guarantor+num_credits",0.282261272804269
"1969","response~(furniture+guarantor+telephone)^3","response~furniture+guarantor+telephone",0.28221361134636
"3372","response~(install_rate+num_credits+num_dependents)^3","response~install_rate+num_credits+num_dependents",0.281867853006175
"2489","response~(education+age+job)^3","response~education+age+job",0.281814575750311
"2511","response~(education+num_credits+job)^3","response~education+num_credits+job",0.281728081394874
"773","response~(duration+own_res+telephone)^3","response~duration+own_res+telephone",0.281381267557915
"3434","response~(male_div+guarantor+foreign)^3","response~male_div+guarantor+foreign",0.281346923705322
"1716","response~(used_car+prop_unkn_none+age)^3","response~used_car+prop_unkn_none+age",0.281317347024851
"1844","response~(furniture+amount+num_dependents)^3","response~furniture+amount+num_dependents",0.281259317823189
"2150","response~(radio.tv+install_rate+job)^3","response~radio.tv+install_rate+job",0.281094804821411
"2882","response~(amount+prop_unkn_none+num_dependents)^3","response~amount+prop_unkn_none+num_dependents",0.280997319733599
"2611","response~(retraining+male_single+male_mar_or_wid)^3","response~retraining+male_single+male_mar_or_wid",0.28093326695559
"1666","response~(used_car+male_mar_or_wid+job)^3","response~used_car+male_mar_or_wid+job",0.280880950786808
"2775","response~(amount+install_rate+prop_unkn_none)^3","response~amount+install_rate+prop_unkn_none",0.280783585367221
"1729","response~(used_car+age+job)^3","response~used_car+age+job",0.280672891164113
"564","response~(duration+retraining+real_estate)^3","response~duration+retraining+real_estate",0.280467015290786
"2189","response~(radio.tv+male_mar_or_wid+prop_unkn_none)^3","response~radio.tv+male_mar_or_wid+prop_unkn_none",0.280301370610926
"1388","response~(new_car+guarantor+rent)^3","response~new_car+guarantor+rent",0.279798967178436
"3096","response~(employment+install_rate+guarantor)^3","response~employment+install_rate+guarantor",0.279768513549166
"1682","response~(used_car+co.applicant+foreign)^3","response~used_car+co.applicant+foreign",0.279516171165475
"186","response~(chk_acct+retraining+real_estate)^3","response~chk_acct+retraining+real_estate",0.278759937132348
"1020","response~(history+male_single+real_estate)^3","response~history+male_single+real_estate",0.27843475276908
"3978","response~(age+other_install+own_res)^3","response~age+other_install+own_res",0.278360087954161
"315","response~(chk_acct+male_mar_or_wid+foreign)^3","response~chk_acct+male_mar_or_wid+foreign",0.278090738810571
"2054","response~(radio.tv+education+num_credits)^3","response~radio.tv+education+num_credits",0.278080866472405
"3125","response~(employment+male_single+male_mar_or_wid)^3","response~employment+male_single+male_mar_or_wid",0.277313056227654
"242","response~(chk_acct+employment+present_resident)^3","response~chk_acct+employment+present_resident",0.277279465875678
"4013","response~(other_install+own_res+num_dependents)^3","response~other_install+own_res+num_dependents",0.276896035989698
"1391","response~(new_car+guarantor+job)^3","response~new_car+guarantor+job",0.276791066796803
"499","response~(duration+furniture+prop_unkn_none)^3","response~duration+furniture+prop_unkn_none",0.276623243288889
"2006","response~(furniture+age+num_dependents)^3","response~furniture+age+num_dependents",0.276451986300102
"3114","response~(employment+male_div+real_estate)^3","response~employment+male_div+real_estate",0.275626601174371
"554","response~(duration+retraining+amount)^3","response~duration+retraining+amount",0.275323511879663
"3754","response~(co.applicant+rent+own_res)^3","response~co.applicant+rent+own_res",0.27525689419059
"2816","response~(amount+male_mar_or_wid+co.applicant)^3","response~amount+male_mar_or_wid+co.applicant",0.274964295509001
"1118","response~(history+rent+num_dependents)^3","response~history+rent+num_dependents",0.274921617489667
