"mod","aics","bics","lrts"
113,6702.71007802427,6757.93733818373,4.66067156884417e-24
114,6507.35540235042,6555.67925498995,2.00312997861072e-08
115,6867.34738395122,6929.47805163061,2.27734160123774e-41
116,6648.45951437707,6703.68677453653,4.47850053376381e-19
117,6627.77273183619,6689.90339951558,3.15221064920715e-17
118,6590.85348019324,6646.0807403527,2.81803174876112e-14
119,6466.31079531411,6521.53805547356,5.29357138604037e-06
120,6451.39614744286,6499.72000008238,2.78123593354021e-05
121,6562.39077216728,6617.61803232673,4.09467139851274e-12
122,6595.8715220209,6644.19537466042,9.84934993398535e-15
123,6471.39324767469,6526.62050783415,2.82647384469266e-06
124,6454.08487438638,6509.31213454584,2.25837545495252e-05
125,6573.14783318835,6621.47168582788,5.67093643523661e-13
126,6411.52531851,6459.84917114953,0.00164607655924129
