"","formula","aics","bics","acc"
"519",519,859.141312236261,905.987429512941,0.69875
"248",248,866.046298940814,912.892416217493,0.69875
"119",119,871.208031492159,922.738760496506,0.69875
"750",750,880.63990393323,927.486021209909,0.69875
"28",28,913.726254171568,960.572371448247,0.69875
"286",286,952.923542640002,999.769659916681,0.69875
"161",161,826.376258532832,873.222375809512,0.6975
"478",478,832.576255360208,884.106984364555,0.6975
"813",813,847.543887811466,894.390005088145,0.6975
"46",46,858.052238981171,904.89835625785,0.6975
"374",374,876.000273522401,927.531002526748,0.6975
"294",294,890.176595072231,937.02271234891,0.6975
"815",815,894.598215354981,941.44433263166,0.6975
"37",37,903.063269053799,954.593998058146,0.6975
"401",401,921.58989977429,963.751405323301,0.6975
"1000",1000,933.215300047464,980.061417324143,0.6975
"677",677,846.254542865966,893.100660142646,0.69625
"539",539,847.876707931044,890.038213480055,0.69625
"619",619,848.42745456679,895.27357184347,0.69625
"143",143,850.245523383228,897.091640659907,0.69625
"328",328,854.856902619205,906.387631623552,0.69625
"572",572,857.604122755319,904.450240031998,0.69625
"221",221,886.860901618865,933.707018895544,0.69625
"205",205,888.612124240096,930.773629789107,0.69625
"474",474,899.632393562183,951.16312256653,0.69625
"457",457,955.01565662225,1001.86177389893,0.69625
"570",570,819.219217878946,870.749946883293,0.695
"60",60,823.67458452254,870.52070179922,0.695
"555",555,842.703745800378,889.549863077057,0.695
"332",332,859.657220497634,906.503337774313,0.695
"170",170,859.760811707367,906.606928984046,0.695
"452",452,860.028033602387,911.558762606734,0.695
"197",197,862.815335112532,904.976840661543,0.695
"192",192,885.323660588653,936.854389593,0.695
"187",187,890.428426202304,941.959155206651,0.695
"590",590,906.99085910331,958.521588107657,0.695
"760",760,908.429469787216,955.275587063895,0.695
"230",230,920.398930525668,971.929659530016,0.695
"774",774,822.514784000004,864.676289549016,0.69375
"626",626,835.902070908528,887.432799912875,0.69375
"472",472,850.853117817714,897.699235094393,0.69375
"909",909,857.432410224851,908.963139229198,0.69375
"183",183,866.208057965539,917.738786969886,0.69375
"719",719,875.343279358556,926.874008362903,0.69375
"704",704,879.920800570232,931.451529574579,0.69375
"148",148,889.987306563395,936.833423840074,0.69375
